0_Autocorrelation,0_Average power,0_Centroid,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_3,0_ECDF_7,0_ECDF_8,0_Entropy,0_Fundamental frequency,0_Interquartile range,0_Kurtosis,0_LPCC_0,0_LPCC_10,0_LPCC_2,0_LPCC_3,0_LPCC_5,0_LPCC_7,0_LPCC_9,0_MFCC_3,0_MFCC_7,0_MFCC_9,0_Max power spectrum,0_Maximum frequency,0_Mean,0_Median absolute deviation,0_Median absolute diff,0_Median frequency,0_Negative turning points,0_Positive turning points,0_Power bandwidth,0_Root mean square,0_Signal distance,0_Skewness,0_Spectral decrease,0_Spectral entropy,0_Spectral positive turning points,0_Spectral roll-off,0_Spectral roll-on,0_Spectral spread,0_Spectral variation,0_Standard deviation,0_Variance,0_Wavelet entropy,0_Wavelet variance_12000.0Hz,0_Zero crossing rate,label
19.0,1142.2469279878524,1.5527977559187625,21876.0,87505.0,-0.01983642578125,0.02032470703125,9.142272037446746e-06,1.8284544074893492e-05,3.6569088149786985e-05,7.313817629957397e-05,8.228044833702071e-05,0.6716113432335437,99.61419612001974,0.010711669921875,5.399708992975727,0.10646411126923105,0.9562670243303782,0.9562670243303781,0.4841644152987983,0.3588670254567544,0.35886702545675453,0.48416441529879833,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.03403423643287208,8878.389497357883,-0.000198862551814541,0.005340576171875,0.000457763671875,656.0494414071785,4351.0,4344.0,604.2676125870802,0.15426144509509543,109390.64293970754,0.1818087553351292,0.0006164498466373964,0.6260568466575943,11232.0,8878.389497357883,139.98646943738459,3648.0184007238554,0.038378129041028,0.1542613169155269,0.02379655389651263,1.8554229907053226,6.680547829961162e-05,3386.0,buka
24.0,876.8679163417569,0.8317943049320551,16971.0,67885.0,-0.034942626953125,0.025726318359375,1.1784531623790613e-05,2.3569063247581225e-05,4.713812649516245e-05,9.42762529903249e-05,0.00010606078461411551,0.6957449109668157,255.67719810976112,0.028564453125,4.6707311267130835,0.0280277467009733,0.9418858376456313,0.9418858376456313,0.2161539406721961,0.7781549202412583,0.7781549202412587,0.21615394067219607,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.12608156822619834,4571.644060006835,-0.00010783486586717212,0.014129638671875,0.00164794921875,608.0818317875957,2897.0,2890.0,553.7787100651685,0.13515867086379646,84859.64989880682,0.11406564305944972,0.001000744164057582,0.5584951636699282,13659.0,4571.644060006835,200.80841886939203,1715.090479699692,0.045763037573641974,0.13515862784635602,0.018267854681309762,1.8697966143852267,2.3758391354862198e-05,2850.0,buka
18.0,1223.1002500069471,1.0260314211505077,18432.0,73728.0,-0.020904541015625,0.02410888671875,1.0850694444444445e-05,2.170138888888889e-05,4.340277777777778e-05,8.680555555555556e-05,9.765625e-05,0.6887704178946863,153.125,0.0155029296875,4.855958761567326,7.443578001597038,1.501345750003507,1.501345750003507,0.23237832045507317,0.3270745843374714,0.3270745843374714,0.23237832045507323,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.09124199367011729,5395.833333333334,-6.948477692074246e-05,0.0076904296875,0.000885009765625,710.4166666666667,4938.0,4993.0,678.1250000000001,0.15962762517548063,92168.10246909485,-0.060091315917546594,0.0009651705141152315,0.6031947323478383,12557.0,5395.833333333334,149.47916666666669,1811.5526916315168,0.041355056904617826,0.15962761005236378,0.025480973891029508,1.870928299800914,7.277462103150184e-05,3226.0,buka
19.0,1082.023471213955,1.371756135846862,19251.0,77004.0,-0.031982421875,0.03369140625,1.0388962765957447e-05,2.0777925531914893e-05,4.1555851063829786e-05,8.311170212765957e-05,9.350066489361702e-05,0.7901588716297655,98.73670212765958,0.044586181640625,5.760754570681403,0.09705667537438112,0.7347954304885815,0.7347954304885815,0.5981051058291679,0.4572272080454041,0.45722720804540407,0.5981051058291679,21.249172745487012,252.5160198665209,77.97661176738448,0.03131473874138156,20481.382978723406,-8.76644824413543e-05,0.022308349609375,0.016693115234375,839.7606382978723,28587.0,28583.0,648.2712765957447,0.15013967317359864,96287.28874340813,-0.31452755606306176,0.0007985244139785782,0.640960680827885,15625.0,20481.382978723406,144.61436170212767,6706.777580005777,0.037238589057521976,0.15013964758055595,0.02254191377561354,1.9585420776396976,0.0002648846765970141,27334.0,buka
22.0,1242.7403901564421,1.0254012495375313,27648.0,110592.0,-0.018585205078125,0.018463134765625,7.2337962962962966e-06,1.4467592592592593e-05,2.8935185185185186e-05,5.787037037037037e-05,6.510416666666667e-05,0.7328334177715804,152.77777777777777,0.02777099609375,8.869933224707054,0.14420667159538342,0.8254420028684573,0.8254420028684573,0.670072433034537,0.5230560993313571,0.5230560993313571,0.670072433034537,116.20338136035262,8.085904439290935,154.09536338706738,0.1768897622250303,20134.722222222223,-1.0184226212678133e-05,0.013885498046875,0.0135498046875,890.9722222222222,41298.0,41301.0,898.9583333333333,0.16090443595148918,138271.78368582873,0.16335522721633502,0.0006800225113420015,0.5410730371079528,22184.0,20134.722222222223,153.81944444444443,6462.023041238807,0.02413604914484313,0.16090443562919085,0.025890237405148425,1.9677879060181853,0.0001799567597103151,46485.0,buka
17.0,682.8535309428468,0.9808343281927657,18636.0,74547.0,-0.0123291015625,0.009857177734375,1.0731456043956045e-05,2.146291208791209e-05,4.292582417582418e-05,8.585164835164836e-05,9.658310439560439e-05,0.642481324959684,154.532967032967,0.009033203125,8.004250587398417,0.3507743675704136,1.732348190526349,1.732348190526349,0.37272697690081635,0.2574089909757278,0.257408990975728,0.3727269769008162,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.06948246314053415,6295.673076923076,-7.890475975288139e-05,0.004486083984375,0.000640869140625,799.4505494505494,4198.0,4186.0,1252.2321428571427,0.11927263961632496,93191.5856459338,0.4022601060503287,0.0008609781933725352,0.6606685633158395,12979.0,6295.673076923076,156.0782967032967,1945.0167540253979,0.05729475195448297,0.11927261351661839,0.014225956335084618,1.9161686282628323,9.819415442763592e-05,4095.0,buka
17.0,601.3042946188365,1.2812271954918888,22118.0,88473.0,-0.012786865234375,0.01483154296875,9.04224537037037e-06,1.808449074074074e-05,3.616898148148148e-05,7.233796296296296e-05,8.138020833333333e-05,0.6675503108284421,167.96875,0.009521484375,6.238185418924749,0.3742136217049319,1.409718352750341,1.409718352750341,0.8076876132079704,0.7813289088189503,0.7813289088189507,0.8076876132079699,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.12381492415975712,7576.388888888889,-7.504279966707583e-05,0.0047607421875,0.000640869140625,753.0381944444445,6145.0,6126.0,710.0694444444445,0.11192434735475922,110597.43422660403,0.03757251745196272,0.0006992296271989317,0.606250090623006,14967.0,7576.388888888889,151.47569444444446,2152.87458720037,0.039889868526866934,0.1119243221974876,0.012527053899367016,1.8473140658164051,6.266514490402702e-05,4496.0,buka
25.0,493.61466300706104,0.9247899570430688,17408.0,69632.0,-0.021942138671875,0.0281982421875,1.1488970588235294e-05,2.2977941176470588e-05,4.5955882352941176e-05,9.191176470588235e-05,0.00010340073529411765,0.6625228142215561,127.94117647058825,0.01792144775390625,4.260941100269228,0.2374566108054219,1.388470778117881,1.388470778117881,1.1215250263152385,0.641721113036716,0.6417211130367158,1.121525026315238,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.26867741003131806,5140.808823529412,-5.798935890197754e-05,0.008941650390625,0.000946044921875,624.264705882353,2985.0,2990.0,639.7058823529412,0.10140769529095535,87041.55718746904,-0.2568110192038409,0.0011828997979518707,0.5317982706563665,13666.0,5140.808823529412,124.63235294117648,1676.5807838783103,0.06044180644507635,0.10140767871052715,0.010283517301457502,1.9188712024801144,2.4429755027489612e-05,2549.0,buka
17.0,348.1732818147294,1.0416992248306345,16998.0,67993.0,-0.009033203125,0.009521484375,1.1765813253012049e-05,2.3531626506024098e-05,4.7063253012048195e-05,9.412650602409639e-05,0.00010589231927710844,0.5822154479959404,139.49548192771084,0.00445556640625,7.244272164976161,0.10250710736586699,0.0785303740897781,0.0785303740897781,0.034680718544914946,0.15206572377198957,0.15206572377198935,0.03468071854491471,-5.56956514302075e-08,-1.0253788861142992e-07,-1.1554422709759472e-07,0.09299923918974717,8003.20030120482,-5.52947980811797e-05,0.002227783203125,0.000274658203125,972.5150602409639,3857.0,3923.0,1130.0828313253014,0.0851676270256824,84995.69627441606,0.3847008469615908,0.0008506436492837486,0.6287382900084054,12539.0,8003.20030120482,157.00301204819277,2516.745471199923,0.0520061703503234,0.0851676090756988,0.007253521635671052,1.9387864021690293,6.756824227772672e-05,4580.0,buka
20.0,560.6444314495582,0.9740932042533176,24576.0,98304.0,-0.016845703125,0.016754150390625,8.138020833333333e-06,1.6276041666666666e-05,3.255208333333333e-05,6.510416666666667e-05,7.32421875e-05,0.7178435847548347,115.234375,0.02587890625,15.469755341248476,0.17479312555536386,0.8351958365148661,0.8351958365148661,0.5714651035332706,0.44206508749470436,0.4420650874947043,0.5714651035332706,74.81123929192634,63.499258562314296,184.07426478004965,0.05957470374947456,20568.359375,-0.00015483424067497253,0.012939453125,0.01361083984375,1330.078125,38053.0,38054.0,1294.53125,0.10807403605413811,122909.15345919089,0.06112996779181573,0.0005091015646643098,0.6404319316041714,19546.0,20568.359375,135.9375,6688.325658500807,0.020196543031693714,0.10807392514103047,0.011679973295389057,2.0313918019934816,0.00024530670578072226,44655.0,buka
