mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,label
-183.4714,22.786106,6.901148,-0.55810106,-4.7385263,-5.914156,-2.4593918,2.150773,1.8908974,-2.0409203,-0.83139086,1.2100164,-0.31244436,-1.7872913,-2.9626613,-3.5835958,-2.8658848,-1.0169989,-0.6049044,-0.9973702,-0.96007323,-0.9413686,-0.8448385,-0.74585426,-0.7104908,-1.2731271,-2.0509102,-1.2397865,-0.32676724,-0.3950138,-0.7284545,-1.4068338,-1.6236995,-1.1572915,-1.122627,-1.1526812,-1.5861621,-1.9275788,-1.1863346,-0.9947621,buka
-396.90823,123.02799,9.287548,11.028573,-11.566036,-21.431227,-11.252848,-2.056796,7.5996337,-8.986617,-9.366543,4.7426953,1.8691921,-5.2894073,-9.896579,-3.9950395,-7.1972322,-11.235963,0.68995374,-2.611029,-6.6264424,-0.53462845,-1.8054461,-2.0402548,-3.2949598,-1.8717613,-0.2336306,-5.805179,-4.059475,-1.9774373,-3.4334943,-0.975874,-2.9788575,-5.9879847,-5.016537,-3.1876066,-3.8285072,-6.669238,-3.855068,-2.9932773,buka
-432.24377,101.309555,-8.7856245,7.3120437,-8.845498,-9.956808,-7.698501,-1.165925,12.065096,-7.8786583,-7.842815,2.4571574,-1.4894094,-7.0024953,-8.808527,-2.4945154,-7.24718,-4.7034173,0.22343205,-7.622978,-2.3702886,-0.5992493,-5.108712,-2.346314,-2.6279213,-2.7647946,-2.5533202,-2.817213,-1.4130325,-0.52407986,-1.7850496,-2.4698224,-1.9531192,-3.7543836,-2.7567348,-3.3642175,-5.433372,-2.407769,-2.632841,-3.5599065,buka
-268.94016,86.29158,18.931114,4.1470656,-13.9526825,-17.423124,-8.7269335,-3.8900533,2.451326,-4.602773,-4.7184644,4.5796857,-0.5427435,-6.273844,-5.674161,-7.8510184,-10.440958,-6.8133335,0.17963448,-2.0956645,-4.5753193,-0.56546706,-0.47073847,-1.4647787,-2.263428,-3.383504,-2.996972,-4.9649158,-4.5075655,-1.3406066,-1.2359722,-1.2476816,-2.4471748,-4.543371,-4.0995526,-3.7524838,-4.667378,-4.2772164,-4.084178,-3.7848344,buka
-397.8015,128.91217,39.07409,-2.6278956,-8.113376,-13.777496,-15.078195,-5.9682,0.02607792,-3.0938745,-4.654553,-0.10260603,0.25067413,-6.0481353,-9.180728,-8.389482,-8.078573,-5.3633,-1.9396064,-3.309018,-4.937423,-3.0932155,-2.4083908,-2.5432186,-0.9228987,-1.4700267,-4.3912997,-5.0482564,-4.4224467,-3.9968314,-1.7664889,-0.41931316,-3.3175921,-6.078486,-4.6154757,-2.7329872,-4.498099,-6.361444,-4.20623,-2.43523,buka
-390.59958,132.09918,1.5482291,12.989536,-10.764988,-20.992172,-15.985719,-4.8778315,12.116787,-10.048344,-10.710653,2.5478544,-0.33822826,-1.8565463,-9.569437,-3.9021451,-7.265664,-13.901812,1.688438,-3.726308,-10.585137,-1.574533,-1.4457275,-0.9209418,-2.4755416,-1.8109969,-0.28111306,-5.616675,-3.0174294,-0.7103958,-2.860096,-1.047149,-1.3719612,-3.7011237,-4.5293097,-2.504699,-2.626742,-5.7285905,-3.0153809,-1.7022483,buka
-592.9794,130.48491,24.636387,10.634346,6.6384754,-7.646396,-4.0103455,3.346586,4.014856,0.7009955,0.7663909,2.7305324,0.7284465,-3.9398313,-6.831701,-5.924,-7.208322,-5.14217,1.4149399,-1.7779124,-5.379878,-2.231564,-2.3217578,-3.145407,-3.6329432,-4.0876074,-3.7581675,-5.512467,-4.696885,-2.4156125,-2.7706146,-2.6226144,-3.5252297,-6.0047593,-6.1889114,-3.9382594,-3.0590992,-4.291566,-3.9880314,-3.4948902,buka
-411.17926,122.22668,11.616921,7.3433332,8.034053,-4.273928,-8.523447,-14.23189,-1.5279998,5.9733357,-3.5648558,-2.1226315,-1.2981055,-2.013005,1.5689162,-2.3917975,-0.98658603,0.82204705,-5.806621,-1.6006496,1.2775526,-6.3386617,-5.644067,-2.959874,-3.4083657,-1.563401,-2.967169,-2.6441915,0.31459975,-1.6822904,-2.0818427,0.3886208,-0.8786278,-3.166745,-2.5167718,-0.6165169,-1.8195316,-4.0569544,-2.2972188,-1.1084845,buka
-400.97678,132.2982,1.3317623,9.521098,-16.359173,-20.978132,-7.5612545,-6.5148582,6.3304873,-7.957123,-7.0084095,7.963261,-3.431598,-6.308317,-5.6847434,-8.675004,-10.605368,-9.233271,1.2501715,-2.903,-7.028504,0.08944217,-2.2108002,-2.1847765,-1.8971775,-4.592773,-3.100389,-5.932525,-5.2112384,-1.560004,-2.467058,-1.3548443,-2.7480328,-5.3231897,-4.062756,-4.422581,-5.2606096,-4.5841284,-4.3636956,-4.5195146,buka
-438.4115,107.231735,-8.090464,9.083858,-7.3783083,-11.538694,-8.889721,-5.3437448,13.149707,-3.6100538,-9.888332,1.9191298,1.1201149,-4.0332627,-9.66048,-3.0786388,-5.0145497,-7.985531,0.396376,-5.802056,-5.913741,0.41815054,-3.2548802,-3.2527137,-2.7762096,-2.4197643,-1.980515,-3.0421562,-2.1234946,-1.1635786,-0.022227945,-0.80135185,-1.1823467,-1.8834215,-2.9150531,-1.5366522,-4.392222,-4.5438414,-1.5638441,-3.2420475,buka
